tag,content
1,עוסק בפסיכולוגיה בניגוד להוראות סעיף 2 או בניגוד לאיסור או להגבלה שהוטלו עליו לפי הוראות חוק זה או בתקופה שרישומו בפנקס מותלה לפי הוראות חוק זה;
1,בהיותו אחראי לקטין מניח לו להשיג סם מסוכן או להשתמש בו;
1,משדל קטין להשיג סם מסוכן או להשתמש בו.
1,במשכן הכנסת וברחבה לא תיערך כל אסיפה וכל תהלוכה אלא בהיתר בין כללי ובין מיוחד מאת יושב־ראש הכנסת.
1,הנכנס בין כדין ובין שלא כדין למשכן הכנסת או לרחבה ועשה בתוכם מעשה כדי לאפשר למשתתפים באסיפה או בתהלוכה להתפרץ להיכנס או להסתנן למשכן הכנסת או לרחבה בין שהוא עצמו השתתף באסיפה או בתהלוכה ובין שלא השתתף בהן.
1,כל אדם או גוף הממלא תפקיד על פי דין (בסעיף זה – עובד הציבור) אינו רשאי לעשות במשכן הכנסת או ברחבה כל פעולה שהוא חייב או רשאי לבצעה במילוי תפקידו אלא בהיתר מאת יושב־ראש הכנסת והעובדה שעובד הציבור פעל כאמור לפי הוראות הממונה עליו לא תשמש לו הגנה.
1,המשתתף באסיפה או בתהלוכה במשכן הכנסת או ברחבה בניגוד לסעיף 7(ב).
1,השפיע בדרכי תרמית על תנודות השער של ניירות ערך; לענין פסקה זו חזקה כי מי שפעל לפי הוראות סעיף 56(א) לענין ייצוב מחיר ניירות ערך לא השפיע בדרכי תרמית כאמור.
1,רוכש רכב שלא לשימושו העצמי שתיקן את הרכב במוסך שלא ניתן לו רישיון לפי דין בניגוד להוראות סעיף 7א(א)(1);
1,מתקין חלק משומש ברכב בניגוד להוראות לפי סעיף 17(א1).
1,לא ימכור אדם ולא יספק דלק לתחנת תדלוק אלא אם כן היא כלולה ברשימת התחנות.
1,הציג בעל תחנת תדלוק מחיר דלק הנמוך מהמחיר הנגבה בפועל בתחנה מצרכן כלשהו או מהמחיר בתחנה לצרכן מזדמן או הציג מחירים או הנחות באופן שיש בו משום הטעיה דינו – מאסר שנה או קנס פי שבעה מהקנס הקבוע בסעיף 61(א)(2) לחוק העונשין.
1,לא ימכור אדם ולא ייצר דלק שאינו עומד בדרישות שנקבעו לפי סעיף קטן (ב)(1) לשם הנעת רכב מנועי.
1,התגלה בבדיקות במעבדה מאושרת כי דלק שנמכר בתחנת תדלוק אינו עומד בדרישות לפי חוק זה (בחוק זה – דלק לא תקין) ונמסרה הודעה על כך לבעל תחנת התדלוק לא ימכור בעל התחנת דלק ממכל המספק דלק למשאבה שאינו עומד בדרישות כאמור אלא אם כן רוקן וניקה את המכל בהתאם להוראות המנהל העביר את הדלק שרוקן מן המכל לבית זיקוק וקיבל אישור מאת המנהל לשוב ולהשתמש במכל; אישור המנהל יינתן לאחר שמעבדה מאושרת תבדוק את הדלק במכל ותאשר למנהל כי הוא עומד בדרישות לפי חוק זה.
1,נציג המעבדה המאושרת כאמור בפסקה (1) ייטול בכל שנה שש דגימות דלק מכל תחנת תדלוק ויעבירן לבדיקת המעבדה; בדיקות לפי סעיף זה יבוצעו לפי הנחיות המנהל במועדים שעליהם יודיע למעבדה המאושרת ותוצאותיהן יועברו ישירות מן המעבדה למנהל; המעבדה או מי מטעמה לא יגלו את מועד ביצוע הבדיקה או כל מידע אחר הנוגע לביצוע הבדיקות לי ההתקשרות אלא אם כן אישר זאת המנהל; שר התשתיות הלאומיות באישור ועדת הכלכלה של הכנסת רשאי לקבוע מספר גדול יותר של דגימות שיינטלו.
1,לא ימכור בעל תחנת תדלוק דלק אלא אם כן קיימת התקשרות תקפה בינו או בין מי שהוא הסמיך לכך ובין מעבדה מאושרת לביצוע בדיקות לצורך קביעת התאמתו של דלק הנמכר בתחנה לדרישות לפי חוק זה; בעל תחנת תדלוק יודיע למנהל על התקשרות כאמור ועל סיומה או פקיעתה;
1,מפרסם דברי שבח אהדה או עידוד למעשה טרור תמיכה בו או הזדהות עמו ועל פי תוכנו של הפרסום והנסיבות שבהן פורסם יש אפשרות ממשית שיביא לעשיית מעשה טרור.
1,"העובר עבירה לפי סעיף קטן (א) והנתקף הוא עובד חינוך דינו – מאסר חמש שנים; בסעיף זה ”עובד חינוך“ – מי שעוסק בהוראה או בחינוך במוסד חינוך כהגדרתו בחוק לימוד חובה התש""ט–1949 וכן מי שעוסק בפיקוח על הוראה או חינוך במוסד חינוך כאמור."
1,מי שאינו מורשה לריפוי שיניים לא יעסוק בריפוי שיניים ולא יתחזה במפורש או מכללא כעוסק בריפוי שיניים או כמוכן לעסוק בו.
1,המשתמש בלי רשות כדין בתואר או בכינוי ”דוקטור“ או בתואר מומחה או בתואר דומה להם עד כדי להטעות או עובר על אחת ההוראות של פרק ו׳ דינו – מאסר שלושה חדשים.
1,מי שמעמיד בתמורה או שלא בתמורה מקום לינה לרשותו של תושב זר שנכנס לישראל שלא כדין או שיושב בה שלא כדין או מסייע בתמורה או שלא בתמורה לתושב זר כאמור להשיג מקום לינה והכול בין במישרין ובין בעקיפין בין בעצמו ובין על ידי אחר המועסק על ידו או מטעמו;
1,מעביד המעסיק עובד שהוא תושב זר שאינו רשאי לעבוד בישראל לפי חוק זה בין במישרין ובין בעקיפין בין בעצמו ובין על ידי אחר המועסק על ידו או מטעמו.
1,הלנה או העסקה של תושב זר כאמור בסעיף 12ב2(א) למשך יומיים רצופים או יותר;
1,הלנה של תושב זר כאמור בסעיף 12ב2(א) במטרה להעסיקו.
1,ספק גישה לאינטרנט ספק שירות איתור אינטרנטי וספק שירותי אחסון שאליהם מופנה צו המפרים הוראות צו לפי חוק זה דינם – מאסר שנתיים.
1,היורה מנשק חם שלא כדין דינו – מאסר שנתיים.
1,באזור מגורים או במקום אחר שיש בירי בו כדי לסכן חיי אדם;
1,באופן שיש בו כדי לסכן חיי אדם.
1,נעברה עבירה לפי סעיף קטן (א) בנסיבות מחמירות דינו – מאסר 5 שנים או קנס בסכום של פי ארבעה מהקנס האמור בסעיף 61(א)(4) לחוק העונשין ובהחזקת טובין מוברחים גם תשלום פי שלושה מסכום מסי היבוא החלים על אותם טובין.
1,עובד טיס שמילא את תפקידו בלא תעודה רפואית תקפה או כשחל שינוי במצב בריאותו העלול לפגוע ביכולתו למלא את תפקידו בניגוד להוראות סעיף 6(א);
1,מי שהפעיל כלי טיס שאינו רשום בפנקס הרישום או שלא קיימת לגביו תעודת רישום תקפה בניגוד להוראות סעיף 56(א);
1,מי שהפעיל כלי טיס בלי שקיימת לגביו תעודת כושר טיסה תקפה או שלא בהתאם לתנאים שבאותה תעודה בניגוד להוראות סעיף 63(א);
1,מי שהפעיל כלי טיס בניגוד לכללי טיסה שנקבעו לפי סעיף 72;
1,מי שהפעיל כלי טיס שאינו מסומן בסימני לאומיותו ורישומו בניגוד להוראות לפי סעיף 62(א);
1,מי שעשה פעולה הטעונה רישוי לפי סעיפים 2 13 17 21 26 31 35 52 87או 88 בלא רישיון בניגוד להוראות הסעיפים האמורים;
1,שיווק קמעונאי של תכשיר או הכנה של סמי מרפא ורעלים רפואיים לשימוש רפואי לא תיעשה אלא בידי רוקח ובבית מרקחת.
1,לא ישווק אדם בסיטונאות תכשיר או חומר גלם ולא יחזיק תכשיר או חומר גלם לשם שיווק כאמור אלא אם כן הוא בית מסחר לתרופות או מוסד מוכר; הוראה זו לא תחול על ייבוא או ייצוא של תכשיר.
1,על אף האמור בסעיף קטן (א) שר הבריאות רשאי לקבוע תנאים לשיווק סיטונאי או להחזקה לשם שיווק כאמור של תכשיר או חומר גלם שלא בידי בית מסחר לתרופות או מוסד מוכר אם ראה כי הדבר דרוש למתן טיפול חיוני לצורכי מחקר או לצורכי רישום בפנקס ובלבד שאין בכך כדי לפגוע בבריאות הציבור.
1,בעל בית מסחר לתרופות לא יפעיל בית מסחר לתרופות אלא לאחר שמסר את ניהולו המקצועי לרוקח אחראי שאישר לכך המנהל; הרוקח האחראי יהיה אחראי לביצוע הפעולות המקצועיות בבית המסחר לתרופות ולמילוי אחר הוראות פקודה זו וכל דין אחר הנוגע לבית מסחר לתרופות.
1,בעל בית מסחר לתרופות יאחסן יוביל או יפיץ תכשירים או חומרי גלם בתנאי הפצה נאותים.
1,בעל בית מסחר לתרופות לא ישווק תכשיר שאינו באיכות מתאימה לשימוש רפואי בשל כך שלא אוחסן הובל או הופץ בתנאי הפצה נאותים או שהמנהל בעל רישום בעל אישור יצרן או בעל אישור יבואן מסר הודעה לבית המסחר לתרופות על החזרתו מהשוק.
1,מבנה בית מסחר לתרופות הציוד והתשתיות שבו יהיו מתאימים לאחסון הובלה והפצה של תכשירים וחומרי גלם.
1,משאושרה תכנית בדבר ייעודו של שטח כגן לאומי או כשמורת טבע לא תיעשה באותו שטח פעולת בניה או כל פעולה אחרת שיש בה לדעת הרשות כדי לסכל את ייעודו של השטח כגן לאומי או כשמורת טבע אלא באישור הרשות כל עוד לא בוטל ייעודו כאמור.
1,לא יבצע אדם פעולה המהווה או העלולה להוות פגיעה בשמורת טבע או בגן לאומי אלא בהיתר בכתב מאת המנהל; לענין זה ”פגיעה“ – לרבות השמדה השחתה הריסה שבירה חבלה כתיבה ציור או חריטה במקרקעין הצבת שלט גרימת נזק לבעל חיים או הטרדתו רעייה כריתה קטיפה נטילה שינוי צורה או תנוחה טבעית של חי צומח או דומם או הפרעה לריבוים ולהמשך התפתחותם הטבעי שינוי של פני הקרקע כולל חפירה הקמת מבנה או מיתקן או הכנסת חומר זר וכן השלכת פסולת או השארתה.
1,לא יפגע אדם בערך טבע מוגן אלא בהיתר כללי או מיוחד מאת המנהל.
1,לא יפגע אדם באתר לאומי.
1,לא יקים אדם אנדרטה אשר נועדה להנצחה אלא בשטח שהוכרז על פי פרק זה.
1,לא יחלל אדם אתר הנצחה ממלכתי אתר הנצחה חילי או אתר הנצחה מקומי ולא יפגע בהם בדרך אחרת כלשהי.
1,לרשות בית מסחר לתרופות יעמוד כוח אדם מקצועי ומיומן בסוג העבודה המתבצעת בו.
1,בעל בית מסחר לתרופות לא יפעילו אלא אם כן הוא מקיים מערכת להבטחת איכות וכן מערכת למעקב אחר אצוות המשווקות על ידו באופן שיאפשר החזרה מהשוק של תכשיר או חומר גלם העלול לסכן את בריאות הציבור.
1,בעל בית מסחר לתרופות לא יקבל תכשירים או חומרי גלם אלא מבית מסחר אחר לתרופות מבעל אישור יצרן מבעל אישור יבואן או מגוף העומד בתנאי סעיף 42א(ב) ולעניין חומרי גלם – גם מיצרן חומרי גלם.
1,על אף האמור בסעיף קטן (ז) בעל בית מסחר לתרופות רשאי לקבל תכשירים או חומרי גלם מבית מרקחת שאליו שיווק את התכשירים או חומרי הגלם כאמור אם הרוקח האחראי של בית המסחר לתרופות שוכנע כי אין בכך כדי לפגוע באיכות התכשירים או חומרי הגלם או בבריאות הציבור והכול בהתאם להוראות שיורה עליהן המנהל.
1,לא ישווק בעל בית מסחר לתרופות תכשיר בסיטונאות אלא לבית מרקחת מרפאה בית חולים או מוסד כאמור בסעיף 39 וכן לבית מסחר לתרופות או למוסד מוכר ולעניין תכשיר בלא מרשם – גם לעסק אחר למכירת תכשירים בלא מרשם.
1,בית מסחר לתרופות רשאי לייבא תכשיר רשום אם אישר המנהל כי התכשיר הוא תכשיר רשום וכי נתקיימו תנאים נאותים בהובלתו ובאחסונו של התכשיר הרשום בהתאם לכללים שנקבעו לפי סעיף קטן (ג).
1,שדרה תחנה תשדיר פרסומת יראו את מי שלמענו שודר התשדיר כאילו הוא סיפק את התשדיר לפרסום ושילם בעדו אלא אם הוכיח היפוכו של דבר אולם לא יהיה בכך כדי לגרוע מאחריות כל אדם אחר לשידור התשדיר.
1,"לא ייכנס אדם לישראל ולא ייצא ממנה בין שהוא אזרח ישראלי ובין שאיננו אזרח ישראלי אלא באחת מתחנות הגבול שקבע שר הפנים בצו שפורסם ברשומות ולאחר שהתייצב שם לפני קצין בקורת הגבולות או בקר גבולות והציג לפניו דרכון תעודת מעבר או תעודה אחרת שהוציא למטרה זו שר הפנים בני־תוקף; שר הפנים רשאי לפטור אדם מהוראות סעיף זה אם יש נסיבות מיוחדות המצדיקות זאת לדעתו. פורסם צו הכניסה לישראל (תחנות גבול) התשמ""ז–1987."
1,עשה מעשה כדי להתחמק מתשלום מס שנתחייב בו;
1,לא קיים תנאי שעל פיו אושר ההסדר הכובל או שעל פיו ניתן ההיתר הזמני או הפטור לפי הענין;
1,לא הודיע על מיזוג חברות או עשה מעשה שיש בו משום מיזוג מלא או חלקי בניגוד להוראות פרק ג׳;
1,לא קיים תנאי שנקבע באישור המיזוג;
1,ניצל לרעה את מעמדו בשוק לפי הוראות סעיף 29א ובלבד שהוכחה כוונתו להפחית את התחרות בעסקים או לפגוע בציבור;
1,עבר על הוראה שניתנה לפי סעיפים 30או 31ג או על צו שניתן לפי סעיפים 25או 31; (הוראת שעה לשלוש שנים מיום 26.7.2018): עבר על הוראה שניתנה לפי סעיפים 30 31גאו 31ו או על צו שניתן לפי סעיפים 25או 31;
1,עבר על צו שניתן לפי סעיפים 35או 36
1,מי שהיה צד להסדר כובל שלא אושר כדין לפי סעיף 9 ולא ניתן לו היתר זמני לפי סעיף 13 או פטור לפי סעיף 14 ואינו פטור בכללי פטור סוג לפי סעיף 15א דינו – מאסר חמש שנים או קנס פי עשרה מן הקנס כאמור בסעיף 61(א)(4) לחוק העונשין וקנס נוסף לכל יום שבו נמשכת העבירה לאחר שנמסרה הודעת הממונה כאמור בסעיף 43; אם היה תאגיד – כפל הקנס או הקנס הנוסף לפי העניין.
1,מי שעבר על הוראה אחרת מהוראות חוק זה דינו – מאסר שנה או קנס שהוא פי עשרה מן הקנס כאמור בסעיף 61(א)(3) לחוק העונשין וקנס נוסף לכל יום שבו נמשכת העבירה; אם היה תאגיד – כפל הקנס האמור או הקנס הנוסף לפי הענין.
1,מוסר ידיעות למועצה או בשבילה בענין הנתון לסמכותה והוא יודע שהן כוזבות;
1,מעניק תואר מוכר או מסייע להענקתו ואין הוא מוסמך לכך לפי חוק זה;
1,מתחזה כבעל תואר מוכר שהוענק לו לפי חוק זה כשלא הוענק לו תואר כאמור;
1,המפר הוראה מהוראות סעיף 21א או תקנה לפיו;
1,המפר הוראה מההוראות האמורות בסעיף 21ח;
1,המפר הוראה מהוראות סעיף 25ג;
1,המפר הוראה מהוראות סעיף 25י.
1,מי שמסר הצהרה ידיעה או הודעה ביודעין שאינה נכונה דינו – מאסר שנתיים או קנס כאמור בסעיף 61(א)(3) לחוק העונשין או קנס שהוא פי שלושה מסכום המס שלא שולם בגלל אותה עבירה הכל לפי הסכום הגבוה יותר.
1,מי שמסר מידע כוזב לרשם ההוצאה לפועל או למנהל לשכת ההוצאה לפועל או למי שפועל מטעמם לפי חוק זה דינו – מאסר שנתיים.
1,מי שנדרש למסור ידיעות או להמציא מסמך או חפץ לפי סעיף 31 או מי שנחקר לפי סעיף 33 – ומסר ידיעה מסמך או חפץ לא נכונים דינו – מאסר שנתיים.
1,נמנע מלמסור ידיעה או מלהמציא מסמך או חפץ לפי הוראות סעיף 31.
1,"העובר על הוראת סעיף 11 דינו – מאסר שלוש שנים או קנס כאמור בסעיף 61(א)(4) לחוק העונשין התשל""ז–1977."
1,העושה פעולה ברכוש או המוסר מידע כוזב במטרה שלא יהיה דיווח לפי סעיפים 7או 8א או כדי שלא לדווח לפי סעיף 9 או כדי לגרום לדיווח בלתי נכון לפי הסעיפים האמורים דינו – מאסר חמש שנים או קנס פי שמונה מהקנס האמור בסעיף 61(א)(4) לחוק העונשין; לענין סעיף זה ”מסירת מידע כוזב“ – לרבות אי מסירת עדכון של פרט החייב בדיווח.
1,העושה פעולה ברכוש בידיעה שהוא רכוש אסור והוא בשווי שנקבע בתוספת השנייה דינו – מאסר שבע שנים או קנס פי עשרה מהקנס האמור בסעיף 61(א)(4) לחוק העונשין; לענין סעיף זה ”ידיעה“ – למעט עצימת עיניים כמשמעותה בסעיף 20(ג)(1) לחוק העונשין.
1,על אף הוראות כל דין ניתן לקבוע בצו סוגי דיווח שגילוי של כל דבר הנוגע אליהם לרבות בירור פנימי לקראת הכנת דיווח תוכן הדיווח או דבר קבלתה של בקשה הנוגעת לדיווח וכן מתן זכות עיון במסמכים המעידים עליהם אסורים או מוגבלים; המגלה דבר או המאפשר עיון בדיווח בניגוד לצו שניתן לפי סעיף קטן זה דינו – מאסר שנה.
1,המפר חובת דיווח שהוטלה עליו לפי סעיף 9 דינו – מאסר שישה חודשים או קנס בשיעור האמור בסעיף 61(א)(4) לחוק העונשין או פי עשרה מהסכום שלא דיווח עליו הכל לפי הסכום הגבוה יותר.
1,"העובר על הוראות סעיף זה דינו – מאסר שנה או קנס כאמור בסעיף 61(א)(3) לחוק העונשין התשל""ז–1977."
1,מעלית תהיה ממבנה מיכאני טוב מחומר בריא ומחוֹזק מספיק ותקויים כראוי יחד עם כל השערים ההֶתקנים המשולבים ושאר ההתקנים הנדרשים לפי סימן זה.
1,לא תוכנס לשימוש מעלית חדשה אלא אם נוסתה ונבדקה ביסודיות בידי בודק מוסמך ונתקבל תסקיר ובו מפורש עומס העבודה הבטוח שלה.
1,לא ישתמשו במעלית אלא אם נבדקה בדיקה יסודית בידי בודק מוסמך תוך ששת החדשים שקדמו לשימוש ונתקבל תסקיר על תוצאות הבדיקה.
1,מעלית וגידרה כאמור בסעיף 61 ייבנו כך שטובין או אדם הנישאים בתא לא יוכלו הם או כל חלק מהם להילכד בין חלק של המעלית לבין מבנה או בין משקולת הנגד לבין חלק נע אחר של המעלית.
1,פתח שבקיר המשמש להעלאה או להורדה של טובין או חמרים בין בכוח מיכאני ובין באופן אחר יגודר לבטח ויצוייד במאחזים משני צדיו; הגידור יוחזק במקומו חוץ משעה שמעלים או מורידים טובין או חמרים ויקויים כראוי.
1,"המסיע ברכב תושב זר השוהה בישראל שלא כדין דינו – מאסר שנתיים או הקנס הקבוע בסעיף 61(א)(3) לחוק העונשין התשל""ז–1977 (להלן – חוק העונשין);"
1,המרשה לתושב זר שאינו רשאי לנהוג ברכב בישראל לנהוג ברכב הרשום בישראל דינו מאסר שנתיים או הקנס הקבוע בסעיף 61(א)(3) לחוק העונשין.
1,לא ייבנה דרגנוע אלא אם כן הוא תואם דרישות תקן.
1,לא יופעל דרגנוע לראשונה אלא אם כן בודק מוסמך אישר את הפעלתו לאחר שבדק את הדרגנוע בדיקה יסודית ומסר תסקיר לפי הוראות סעיף 119א שבו מפורש עומס העבודה הבטוח של הדרגנוע.
1,לא יופעל דרגנוע אלא אם כן נבדק בדיקה יסודית בידי בודק מוסמך בתוך שנים עשר החודשים שקדמו להפעלה והוא אישר בתסקיר שמסר לפי הוראות סעיף 119א את הפעלתו.
1,כל השרשרות החבלים ואבזרי ההרמה שבשימוש ייבדקו ביסודיות על ידי בודק מוסמך לפחות אחת לששה חדשים או לתקופות ארוכות יותר כפי שנקבע.
1,השרשרות החבלים ואבזרי ההרמה – זולת חבלי־סיבים או מענבי־חבל־סיבים – לא יוכנסו לשימוש במפעל אלא אם נוסו ונבדקו ביסודיות על ידי בודק מוסמך ונתקבל התסקיר המפרש את עומס העבודה הבטוח והחתום על ידי הבודק המוסמך שעשה את הניסוי והבדיקה והוא נתון לעיון.
1,אין להשתמש בשרשרת בחבל או באבזר הרמה אלא אם הם ממבנה טוב מחומר בריא מחוזק מספיק וללא פגם גלוי.
1,מכונת הרמה על כל חלקיה תהיה ממבנה טוב מחומר בריא מחוֹזק מספיק וללא פגם גלוי ותקויים כראוי.
1,מכונת הרמה על כל חלקיה תיבדק ביסודיות לפחות אחת לארבעה עשר חדשים על ידי בודק מוסמך.
1,מכונת הרמה לא תוכנס לשימוש במפעל אלא אם נוסתה וכל חלקיה נבדקו ביסודיות על ידי בודק מוסמך ונתקבל תסקיר המפרש את עומסי העבודה הבטוחים של מכונת ההרמה והחתום על ידי הבודק המוסמך שעשה את הניסוי והבדיקה והוא נתון לעיון.
1,קולט קיטור על כל אבזריו ייבדק ביסודיות על ידי בודק דוודים מוסמך במידה שמבנהו של הקולט מרשה לעשות כן לפחות אחת לעשרים וששה חדשים.
1,קולט אויר על כל אבזריו יהיה ממבנה טוב ויקויים כראוי.
1,כל דלת העשויה לשמש מימלט מדליקה או הנותנת גישה למימלט מדליקה למעט דלת שבשימוש רגיל תסומן עליה במובחן ובמובלט הודעה על כך באותיות אדומות בגודל מתאים; ”דלת“ לענין זה – לרבות חלון או מוצא אחר.
1,כל דבר הנמצא בחדר שבו עובדים בני אדם יסודר וימוקם באופן שיהא לכל העובדים בחדר מעבר חפשי אל מימלט מדליקה.
1,לענין סעיפים 3 4ו־6 עד 8ג רואים חצרים שאינם חלק ממפעל ומשתמשים בהם במעלית או בדרגנוע כאילו היו מקום עבודה וכאילו היה האדם המשתמש בחצרים או תופש אותם למעשה המחזיק במקום העבודה.
1,האשם בהשמדת עם דינו – מיתה; אך אם עשה את המעשה המהווה את העבירה בנסיבות אשר אלמלא סעיף 6 היו פוטרות אותו מאחריות פלילית או היו משמשות עילה למחילת העבירה והוא עשה כמיטב יכלתו כדי להקל את חומרת התוצאות שנגרמו על ידי המעשה יהיה דינו – מאסר לתקופה של לא פחות מעשר שנים.
1,האשם בהשמדת עם דינו – מיתה; אך אם עשה את המעשה המהווה את העבירה בנסיבות אשר אלמלא סעיף 6 היו פוטרות אותו מאחריות פלילית או היו משמשות עילה למחילת העבירה והוא עשה כמיטב יכלתו כדי להקל את חומרת התוצאות שנגרמו על ידי המעשה יהיה דינו – מאסר לתקופה של לא פחות מעשר שנים.
1,מי שנטל או החזיק רכיב חיוני באמצעי תשלום שלא בהסכמת המשלם בכוונה להשתמש בו או לאפשר לאחר להשתמש בו; לעניין זה ”נטילה“ – כהגדרתה בסעיף 383(ג)(1) לחוק העונשין;
1,מי שהשתמש ברכיב חיוני באמצעי תשלום או מסר לאחר רכיב חיוני כאמור בידיעה שהוא עלול להשתמש בו בכוונה להונות.
1,נותן שירותי תשלום שעשה דבר העלול להטעות לקוח בעניין מהותי בעסקה למתן שירותי תשלום בניגוד להוראות סעיף 8 דינו – מאסר שנה או כפל הקנס האמור בסעיף 61(א)(4) לחוק העונשין ואם נעברה העבירה בידי תאגיד – פי שניים מהקנס האמור.
1,נותן שירותי תשלום שאינו גוף פיננסי מפוקח שלא ציין פרטים שקבע השר בהתאם להוראות סעיף 7(ג) דינו – קנס כאמור בסעיף 61(א)(2) לחוק העונשין ואם הוא תאגיד – כפל הקנס האמור.
1,בעבירה לפי סעיף 348(א) או (ג1) – מאסר עשר שנים;
1,העובר עבירה כאמור בסעיף קטן (א) באופן או בנסיבות מחמירות דינו – מאסר שלוש שנים או כפל הקנס האמור בסעיף 61(א)(4) לחוק העונשין ואם נעברה העבירה על ידי תאגיד דינו – ארבע פעמים הקנס האמור בסעיף 61(א)(4) לחוק העונשין.
1,לא ישליך אדם ולא יזרים לתוך מקור מים או בקרבתו חמרים נוזלים מוצקים או גזיים ולא יניח אותם בו או בקרבתו.
1,לא יעשה אדם כלי יריה אלא על פי רשיון ובהזמנת הממשלה או על פי אישור הממשלה.
1,לא יביא אדם כלי יריה צבאי למדינה ולא יוציא אדם כלי יריה צבאי מן המדינה אלא על פי אישור הממשלה.
1,לא יביא אדם למדינה כלי יריה שאינו כלי יריה צבאי ולא יוציא אדם מן המדינה כלי יריה שאינו כלי יריה צבאי אלא על פי רשיון.
1,לא ישא ולא יוביל אדם כלי יריה אלא על פי רשיון או על פי תעודת הרשאה לפי הסעיפים 9 10 10אאו 10ג או לפי רשות על פי סעיף 10ב(ג).
1,לא יקנה אדם כלי יריה ולא ירכשנו בדרך אחרת אלא אם יש בידו רשיון לאותו כלי יריה.
1,לא ימכור אדם כלי יריה לא יעבירנו לאחר בדרך אחרת ולא ימסור כלי יריה לאחר אלא לאחר שנוכח כי יש בידי הקונה או המקבל רשיון לאותו כלי יריה או שמותר לו להחזיק בכלי היריה לפי הוראות חוק זה.
1,לא יוקם מטווח קליעה ולא ינוהל אלא על פי רשיון.
1,לא ישלח אדם כלי יריה בדואר ברכבת או בכל דרך אחרת אלא על פי רשיון.
1,מי שהגיעה אליו על פי סעיפים 10א(ג) 10ג 11א 11ב 11ב1או 12(ג) ידיעה על אדם ישמרנה בסוד ולא יגלה אותה אלא במידה שיש בכך צורך לשם ביצוע חוק זה והתקנות על פיו; העובר על הוראה זו דינו – מאסר שנה אחת.
1,אדם שהחזיק כלי יריה בהיתר לפי חוק זה ופקע היתרו אם משום שתם תקפו של הרשיון שניתן לו לפי חוק זה ואם משום סיבה אחרת חייב למסור את כלי היריה למשמרת לתחנת המשטרה של מקום מגוריו או של מקום עסקיו ויקבל אישור קבלה על כלי היריה שמסר.
1,העובר עבירה על פי חוק זה בכלי יריה צבאי או בכלי יריה שאינו ניתן למשא אדם או בכלי יריה אחדים – יהיה צפוי לעונש גדול פי שנים מן העונש שהוא צפוי לו על אותה עבירה על פי סעיף 16.
1,עובר על הוראות סעיפים 4או 5 בשל כך בלבד שלא שילם את האגרה לחידוש רשיונו או שלא חודשה תעודת הרשאתו אף שלא היתה מניעה לחידושה הכל בהתאם לחוק זה או התקנות על פיו;
1,עובר על הוראה מהוראות חוק זה או על תנאי או הגבלה שנקבעו ברשיון או בתעודת הרשאה שניתנו לפי חוק זה ועבירתו אינה עבירה לפי חיקוק אחר.
1,העושה מעשה מגונה באדם באחת הנסיבות המנויות בסעיף 345(ב)(1) עד (5) בשינויים המחוייבים דינו – מאסר עשר שנים.
1,העושה מעשה סדום באדם באחת הנסיבות המנויות בסעיף 345 בשינויים המחוייבים דינו כדין אונס.
1,הגורם בכוונה או באדישות למותו של אדם דינו – מאסר עולם.
1,המעשה נעשה לאחר תכנון או לאחר הליך ממשי של שקילה וגיבוש החלטה להמית;
1,המחלל מקום קדוש או הפוגע בו בכל דרך אחרת דינו – מאסר שבע שנים.
